Company Name,Rating,Total Reviews,Industry,Headquarters,Primary HQ
TCS,3.3,120000,IT Services & Consulting,Bengaluru +445 other locations,Bengaluru
Accenture,3.7,74500,IT Services & Consulting,Bengaluru +260 other locations,Bengaluru
Wipro,3.6,65800,IT Services & Consulting,Hyderabad +375 other locations,Hyderabad
Cognizant,3.7,62200,IT Services & Consulting,Hyderabad +233 other locations,Hyderabad
Capgemini,3.6,54200,IT Services & Consulting,Bengaluru +185 other locations,Bengaluru
Infosys,3.5,49500,IT Services & Consulting,Bengaluru +247 other locations,Bengaluru
HCLTech,3.4,46600,IT Services & Consulting,Chennai +231 other locations,Chennai
Tech Mahindra,3.3,43900,IT Services & Consulting,Hyderabad +323 other locations,Hyderabad
LTIMindtree,3.6,26800,IT Services & Consulting,Bengaluru +145 other locations,Bengaluru
IBM,3.9,26000,IT Services & Consulting,Bengaluru +162 other locations,Bengaluru
WNS,3.3,15500,IT Services & Consulting,Pune +66 other locations,Pune
DXC Technology,3.6,12200,IT Services & Consulting,Bengaluru +131 other locations,Bengaluru
Digitide Solutions,3.5,10500,IT Services & Consulting,Hyderabad +275 other locations,Hyderabad
Mphasis,3.3,10400,IT Services & Consulting,Bengaluru +63 other locations,Bengaluru
Coforge,3.3,9000,IT Services & Consulting,Hyderabad +113 other locations,Hyderabad
Optum Global Solutions,4.0,8100,IT Services & Consulting,Hyderabad +69 other locations,Hyderabad
Hexaware Technologies,3.4,7800,IT Services & Consulting,Chennai +71 other locations,Chennai
L&T Technology Services,3.1,6700,IT Services & Consulting,Bengaluru +95 other locations,Bengaluru
eClerx,3.1,6400,IT Services & Consulting,Pune +33 other locations,Pune
Virtusa Consulting Services,3.7,6200,IT Services & Consulting,Hyderabad +56 other locations,Hyderabad
HCL Group,3.5,6100,IT Services & Consulting,Chennai +97 other locations,Chennai
GlobalLogic,3.5,5900,IT Services & Consulting,Hyderabad +62 other locations,Hyderabad
UST,3.7,5800,IT Services & Consulting,Bengaluru +52 other locations,Bengaluru
Bosch Global Software Technologies,3.7,5700,IT Services & Consulting,Bengaluru +47 other locations,Bengaluru
CGI Inc,4.0,5500,IT Services & Consulting,Bengaluru +43 other locations,Bengaluru
Cyient,3.6,5400,IT Services & Consulting,Hyderabad +49 other locations,Hyderabad
NTT DATA,3.8,5400,IT Services & Consulting,Bengaluru +81 other locations,Bengaluru
Persistent Systems,3.6,5100,IT Services & Consulting,Pune +42 other locations,Pune
Atos,3.8,5000,IT Services & Consulting,Pune +50 other locations,Pune
ITC Infotech,3.8,5000,IT Services & Consulting,Bengaluru +69 other locations,Bengaluru
Nagarro,3.9,4800,IT Services & Consulting,Gurugram +48 other locations,Gurugram
Eviden,3.6,4800,IT Services & Consulting,Pune +39 other locations,Pune
EY Global Delivery Services ( EY GDS),3.5,4700,IT Services & Consulting,Bengaluru +57 other locations,Bengaluru
Hewlett Packard Enterprise,4.0,4700,IT Services & Consulting,Bengaluru +104 other locations,Bengaluru
Carelon Global Solutions,3.9,4300,IT Services & Consulting,Bengaluru +20 other locations,Bengaluru
Publicis Sapient,3.2,4100,IT Services & Consulting,Bengaluru +47 other locations,Bengaluru
Kyndryl,3.9,3900,IT Services & Consulting,Bengaluru +39 other locations,Bengaluru
Birlasoft,3.4,3800,IT Services & Consulting,Pune +50 other locations,Pune
Synechron,3.4,3800,IT Services & Consulting,Pune +33 other locations,Pune
"NTT DATA, Inc.",3.9,3600,IT Services & Consulting,Bengaluru +38 other locations,Bengaluru
Societe Generale Global Solution Centre,3.6,3200,IT Services & Consulting,Bengaluru +24 other locations,Bengaluru
Quest Global,3.5,3200,IT Services & Consulting,Bengaluru +49 other locations,Bengaluru
Tata Elxsi,3.4,3100,IT Services & Consulting,Bengaluru +31 other locations,Bengaluru
Zensar Technologies,3.7,3000,IT Services & Consulting,Pune +29 other locations,Pune
